"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
1,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,4701,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,4411,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,4153,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,3904,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,3672,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,3453,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,3279,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,3098,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,2932,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,2770,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,2613,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,2490,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,2366,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,2262,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,2162,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,2076,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,1977,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1799,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,1717,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,1626,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,1557,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,1428,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,1236,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,1170,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,1118,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,860,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,834,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,799,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,1141,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,1289,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,1573,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,1649,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,1784,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1845,0,0,0,0,0
