tag,rel,fy,pq,fl,fs,mu,j,c,rel_pct,fy_cost_pct,rel_lab,fy_cost_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p01_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.1,0,0,1,0.97,0.25,0.93,1,90,1,90,1,10,100,0,,,median,,1.0079041530054644
rel0p01_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.2,0,0,1,0.97,0.25,0.93,1,80,1,80,1,9,100,0,,,median,,1.0085068032786886
rel0p01_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.3,0,0,1,0.97,0.25,0.93,1,70,1,70,1,8,100,0,,,median,,1.0069030382513662
rel0p01_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.4,0,0,1,0.97,0.25,0.93,1,60,1,60,1,7,100,0,,,median,,1.0041229863387977
rel0p01_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.5,0,0,1,0.97,0.25,0.93,1,50,1,50,1,6,100,0,,,median,,0.9865530601092896
rel0p01_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.6,0,0,1,0.97,0.25,0.93,1,40,1,40,1,5,100,0,,,median,,0.9339694071038251
rel0p01_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.7,0,0,1,0.97,0.25,0.93,1,30.000000000000004,1,30,1,4,100,0,,,median,,0.8425328196721311
rel0p01_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.8,0,0,1,0.97,0.25,0.93,1,19.999999999999996,1,20,1,3,100,0,,,median,,0.7002226420765028
rel0p01_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.9,0,0,1,0.97,0.25,0.93,1,9.999999999999998,1,10,1,2,100,0,,,median,,0.5261224699453552
rel0p01_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,1,0,0,1,0.97,0.25,0.93,1,0,1,0,1,1,100,0,,,median,,0.4000238005464481
