tag,rel,fy,pq,fl,fs,mu,j,c,rel_pct,fy_cost_pct,rel_lab,fy_cost_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p01_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.1,0,0,1,0.97,0.25,0.93,1,90,1,90,1,10,100,0,,,median,,0.9930826502732241
rel0p01_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.2,0,0,1,0.97,0.25,0.93,1,80,1,80,1,9,100,0,,,median,,0.9954060519125683
rel0p01_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.3,0,0,1,0.97,0.25,0.93,1,70,1,70,1,8,100,0,,,median,,0.9890342868852459
rel0p01_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.4,0,0,1,0.97,0.25,0.93,1,60,1,60,1,7,100,0,,,median,,0.9765544071038251
rel0p01_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.5,0,0,1,0.97,0.25,0.93,1,50,1,50,1,6,100,0,,,median,,0.9384966639344262
rel0p01_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.6,0,0,1,0.97,0.25,0.93,1,40,1,40,1,5,100,0,,,median,,0.8886227049180327
rel0p01_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.7,0,0,1,0.97,0.25,0.93,1,30.000000000000004,1,30,1,4,100,0,,,median,,0.8136172049180328
rel0p01_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.8,0,0,1,0.97,0.25,0.93,1,19.999999999999996,1,20,1,3,100,0,,,median,,0.7177798224043715
rel0p01_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.9,0,0,1,0.97,0.25,0.93,1,9.999999999999998,1,10,1,2,100,0,,,median,,0.610357174863388
rel0p01_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,1,0,0,1,0.97,0.25,0.93,1,0,1,0,1,1,100,0,,,median,,0.5445538524590164
rel0p02_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.1,0,0,1,0.97,0.25,0.93,2,90,2,90,2,10,100,0,,,median,,0.997572868852459
rel0p02_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.2,0,0,1,0.97,0.25,0.93,2,80,2,80,2,9,100,0,,,median,,0.9924629617486339
rel0p02_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.3,0,0,1,0.97,0.25,0.93,2,70,2,70,2,8,100,0,,,median,,0.9879347131147541
rel0p02_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.4,0,0,1,0.97,0.25,0.93,2,60,2,60,2,7,100,0,,,median,,0.9615954590163934
rel0p02_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.5,0,0,1,0.97,0.25,0.93,2,50,2,50,2,6,100,0,,,median,,0.9069099234972677
rel0p02_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.6,0,0,1,0.97,0.25,0.93,2,40,2,40,2,5,100,0,,,median,,0.8222282896174863
rel0p02_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.7,0,0,1,0.97,0.25,0.93,2,30.000000000000004,2,30,2,4,100,0,,,median,,0.6890790956284153
rel0p02_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.8,0,0,1,0.97,0.25,0.93,2,19.999999999999996,2,20,2,3,100,0,,,median,,0.5615223224043716
rel0p02_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.9,0,0,1,0.97,0.25,0.93,2,9.999999999999998,2,10,2,2,100,0,,,median,,0.4421033524590164
rel0p02_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,1,0,0,1,0.97,0.25,0.93,2,0,2,0,2,1,100,0,,,median,,0.35148883333333336
rel0p03_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.1,0,0,1,0.97,0.25,0.93,3,90,3,90,3,10,100,0,,,median,,0.9923714808743169
rel0p03_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.2,0,0,1,0.97,0.25,0.93,3,80,3,80,3,9,100,0,,,median,,0.9905891912568306
rel0p03_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.3,0,0,1,0.97,0.25,0.93,3,70,3,70,3,8,100,0,,,median,,0.9800619153005464
rel0p03_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.4,0,0,1,0.97,0.25,0.93,3,60,3,60,3,7,100,0,,,median,,0.9503240464480874
rel0p03_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.5,0,0,1,0.97,0.25,0.93,3,50,3,50,3,6,100,0,,,median,,0.8676520327868853
rel0p03_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.6,0,0,1,0.97,0.25,0.93,3,40,3,40,3,5,100,0,,,median,,0.7316971775956285
rel0p03_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.7,0,0,1,0.97,0.25,0.93,3,30.000000000000004,3,30,3,4,100,0,,,median,,0.5580582923497268
rel0p03_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.8,0,0,1,0.97,0.25,0.93,3,19.999999999999996,3,20,3,3,100,0,,,median,,0.3835845300546448
rel0p03_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.9,0,0,1,0.97,0.25,0.93,3,9.999999999999998,3,10,3,2,100,0,,,median,,0.28161613114754097
rel0p03_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,1,0,0,1,0.97,0.25,0.93,3,0,3,0,3,1,100,0.05,38.101369863013694,43.01917808219178,median,,0.17660761475409836
rel0p04_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.1,0,0,1,0.97,0.25,0.93,4,90,4,90,4,10,100,0,,,median,,0.9944816147540984
rel0p04_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.2,0,0,1,0.97,0.25,0.93,4,80,4,80,4,9,100,0,,,median,,0.9886479398907104
rel0p04_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.3,0,0,1,0.97,0.25,0.93,4,70,4,70,4,8,100,0,,,median,,0.9791247923497268
rel0p04_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.4,0,0,1,0.97,0.25,0.93,4,60,4,60,4,7,100,0,,,median,,0.9310600382513661
rel0p04_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.5,0,0,1,0.97,0.25,0.93,4,50,4,50,4,6,100,0,,,median,,0.8206907131147541
rel0p04_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.6,0,0,1,0.97,0.25,0.93,4,40,4,40,4,5,100,0,,,median,,0.6311817349726776
rel0p04_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.7,0,0,1,0.97,0.25,0.93,4,30.000000000000004,4,30,4,4,100,0,,,median,,0.42302126229508197
rel0p04_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.8,0,0,1,0.97,0.25,0.93,4,19.999999999999996,4,20,4,3,100,0.05,34.96328767123288,36.104109589041094,median,,0.27363637158469944
rel0p04_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.9,0,0,1,0.97,0.25,0.93,4,9.999999999999998,4,10,4,2,100,0.27,24.878640284119736,23.58082191780822,median,,0.11759825956284153
rel0p04_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,1,0,0,1,0.97,0.25,0.93,4,0,4,0,4,1,100,0.29,24.818327822390174,23.76164383561644,median,,0.0922295300546448
rel0p05_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.1,0,0,1,0.97,0.25,0.93,5,90,5,90,5,10,100,0,,,median,,0.9960844590163934
rel0p05_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.2,0,0,1,0.97,0.25,0.93,5,80,5,80,5,9,100,0,,,median,,0.991341306010929
rel0p05_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.3,0,0,1,0.97,0.25,0.93,5,70,5,70,5,8,100,0,,,median,,0.9761649426229508
rel0p05_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.4,0,0,1,0.97,0.25,0.93,5,60,5,60,5,7,100,0,,,median,,0.9078233306010929
rel0p05_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.5,0,0,1,0.97,0.25,0.93,5,50,5,50,5,6,100,0,,,median,,0.7398285628415301
rel0p05_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.6,0,0,1,0.97,0.25,0.93,5,40,5,40,5,5,100,0.07,18.679060665362034,17.30958904109589,median,,0.44621388251366123
rel0p05_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.7,0,0,1,0.97,0.25,0.93,5,30.000000000000004,5,30,5,4,100,0.2,20.086438356164383,15.353424657534246,median,,0.2504992841530055
rel0p05_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.8,0,0,1,0.97,0.25,0.93,5,19.999999999999996,5,20,5,3,100,0.37,15.261680858941133,14.553424657534247,median,,0.11764166393442624
rel0p05_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.9,0,0,1,0.97,0.25,0.93,5,9.999999999999998,5,10,5,2,100,0.64,16.64002568493151,13.967123287671233,median,13.967123287671233,0.04538950546448088
rel0p05_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,1,0,0,1,0.97,0.25,0.93,5,0,5,0,5,1,100,0.7,15.136790606653621,13.48082191780822,median,13.48082191780822,0.0312054781420765
rel0p06_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.06,0.1,0,0,1,0.97,0.25,0.93,6,90,6,90,6,10,100,0,,,median,,0.9953350846994535
rel0p06_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.06,0.2,0,0,1,0.97,0.25,0.93,6,80,6,80,6,9,100,0,,,median,,0.9886217622950819
rel0p06_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.06,0.3,0,0,1,0.97,0.25,0.93,6,70,6,70,6,8,100,0,,,median,,0.9686806092896175
