tag,rel,fy,pq,fl,fs,mu,j,c,rel_pct,fy_cost_pct,rel_lab,fy_cost_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p02_fy0p10,0.02,0.1,,,,,,,2,90,2,90,1,10,100,0,,,median,,1.007728795081967
rel0p02_fy0p20,0.02,0.2,,,,,,,2,80,2,80,1,9,100,0,,,median,,1.0079688360655739
rel0p02_fy0p30,0.02,0.3,,,,,,,2,70,2,70,1,8,100,0,,,median,,1.0095698989071038
rel0p02_fy0p40,0.02,0.4,,,,,,,2,60,2,60,1,7,100,0,,,median,,1.0074092595628414
rel0p02_fy0p50,0.02,0.5,,,,,,,2,50,2,50,1,6,100,0,,,median,,1.0083799371584699
rel0p02_fy0p60,0.02,0.6,,,,,,,2,40,2,40,1,5,100,0,,,median,,1.0064671885245902
rel0p02_fy0p70,0.02,0.7,,,,,,,2,30.000000000000004,2,30,1,4,100,0,,,median,,1.0096066202185792
rel0p02_fy0p80,0.02,0.8,,,,,,,2,19.999999999999996,2,20,1,3,100,0,,,median,,1.0082403196721312
rel0p02_fy0p90,0.02,0.9,,,,,,,2,9.999999999999998,2,10,1,2,100,0,,,median,,1.007177087431694
rel0p02_fy1p00,0.02,1,,,,,,,2,0,2,0,1,1,100,0,,,median,,1.007989699453552
rel0p04_fy0p10,0.04,0.1,,,,,,,4,90,4,90,2,10,100,0,,,median,,1.0081277540983606
rel0p04_fy0p20,0.04,0.2,,,,,,,4,80,4,80,2,9,100,0,,,median,,1.006364300546448
rel0p04_fy0p30,0.04,0.3,,,,,,,4,70,4,70,2,8,100,0,,,median,,1.0096597349726777
rel0p04_fy0p40,0.04,0.4,,,,,,,4,60,4,60,2,7,100,0,,,median,,1.0082623032786886
rel0p04_fy0p50,0.04,0.5,,,,,,,4,50,4,50,2,6,100,0,,,median,,1.0089273415300546
rel0p04_fy0p60,0.04,0.6,,,,,,,4,40,4,40,2,5,100,0,,,median,,1.008774606557377
rel0p04_fy0p70,0.04,0.7,,,,,,,4,30.000000000000004,4,30,2,4,100,0,,,median,,1.0069620956284153
rel0p04_fy0p80,0.04,0.8,,,,,,,4,19.999999999999996,4,20,2,3,100,0,,,median,,1.0095875901639344
