tag,rel,x_shred,fy,pq,fl,fs,mu,j,c,rel_pct,x_shred_pct,rel_lab,x_shred_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.002,0,0.8,0,0,1,0.97,0.25,0.93,0.2,0,0.2,0,1,1,100,0,,,median,,0.9709508551912568
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.002,0.1,0.8,0,0,1,0.97,0.25,0.93,0.2,0.1,0.2,0.1,1,2,100,0,,,median,,0.9488919453551913
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.002,0.2,0.8,0,0,1,0.97,0.25,0.93,0.2,0.2,0.2,0.2,1,3,100,0,,,median,,0.9422964371584699
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.002,0.3,0.8,0,0,1,0.97,0.25,0.93,0.2,0.3,0.2,0.3,1,4,100,0,,,median,,0.9333666202185792
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.002,0.4,0.8,0,0,1,0.97,0.25,0.93,0.2,0.4,0.2,0.4,1,5,100,0,,,median,,0.9224710573770492
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.002,0.5,0.8,0,0,1,0.97,0.25,0.93,0.2,0.5,0.2,0.5,1,6,100,0,,,median,,0.9015742868852459
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.002,0.6,0.8,0,0,1,0.97,0.25,0.93,0.2,0.6,0.2,0.6,1,7,100,0,,,median,,0.8496574234972678
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.002,0.7,0.8,0,0,1,0.97,0.25,0.93,0.2,0.7,0.2,0.7,1,8,100,0,,,median,,0.7968109945355192
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.002,0.8,0.8,0,0,1,0.97,0.25,0.93,0.2,0.8,0.2,0.8,1,9,100,0.03,20.676712328767124,21.471232876712328,median,,0.6297939043715847
rel0p0020_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.002,0.9,0.8,0,0,1,0.97,0.25,0.93,0.2,0.9,0.2,0.9,1,10,100,0.31,16.31895713654441,14.479452054794521,median,,0.49965883333333333
