tag,elim,t_elim_years,t_end_days,final_f,set_id,rel,fy,p,q,fl,fs,mu,j,c
rel0p0300_fy0p2001_p0p0334_q0p1444_fl0p0000_fs0p8309_mu0p8080_j0p2578_c0p8240,0,NA,18250,4835,6447,0.03,0.200096131017264,0.03340856475207023,0.14439387882883195,0,0.8308907421075693,0.8080306127659604,0.25781635757728943,0.8240480324182241
rel0p0300_fy0p2001_p0p1160_q0p1726_fl0p0000_fs0p8849_mu0p8219_j0p5038_c0p8616,0,NA,18250,5177,9858,0.03,0.20006600569836797,0.11602859601859934,0.1726073541522818,0,0.8849245032353233,0.8218614987414703,0.50375295664398,0.8616441979149823
rel0p0300_fy0p2002_p0p1018_q0p0038_fl0p0000_fs0p8167_mu0p9856_j0p1362_c0p9505,0,NA,18250,5075,9902,0.03,0.20022657712277023,0.1018402424983494,0.00381955968795809,0,0.8166730942814192,0.985592977692932,0.1362256274586311,0.950465417522951
rel0p0300_fy0p2003_p0p0625_q0p0243_fl0p0000_fs0p9888_mu0p8698_j0p8956_c0p8434,0,NA,18250,5285,8513,0.03,0.20027858659654857,0.06250988660474309,0.02433302670891862,0,0.988753392117424,0.8698307293305221,0.8955768903092481,0.8433734637797577
rel0p0300_fy0p2004_p0p1177_q0p1064_fl0p0000_fs0p9075_mu0p9929_j0p7563_c0p8658,0,NA,18250,5194,3176,0.03,0.2003915366688557,0.11767575669788292,0.10642337302731816,0,0.9074974975605542,0.992932282526265,0.7563369803633774,0.8658009112251457
rel0p0300_fy0p2004_p0p1191_q0p0077_fl0p0000_fs0p9379_mu0p9309_j0p6999_c0p9112,0,NA,18250,5253,8625,0.03,0.20040373985689133,0.11910890415639618,0.00765701433608308,0,0.9378827829086176,0.9308835433075904,0.6998880500704515,0.9112287910365172
rel0p0300_fy0p2005_p0p0155_q0p0978_fl0p0000_fs0p8016_mu0p9791_j0p7656_c0p9940,0,NA,18250,4953,33,0.03,0.20051418376766147,0.01549502359836362,0.09784783859106712,0,0.8015967936724332,0.9790857995303952,0.7656185494340491,0.9940438883687044
rel0p0300_fy0p2006_p0p1839_q0p0540_fl0p0000_fs0p9809_mu0p9655_j0p7165_c0p9670,0,NA,18250,4959,6517,0.03,0.20061172983722764,0.1838985494412156,0.05396034087966663,0,0.9808954573263694,0.965544818150336,0.7164703565128846,0.9669709292117924
rel0p0300_fy0p2007_p0p0629_q0p0377_fl0p0000_fs0p8150_mu0p9099_j0p4226_c0p8212,0,NA,18250,5068,597,0.03,0.20071233931606636,0.0629464904228784,0.03767139831721317,0,0.8150216784086405,0.9099282384354668,0.4225851801734185,0.8211977809747821
rel0p0300_fy0p2008_p0p0460_q0p1065_fl0p0000_fs0p9197_mu0p9561_j0p8733_c0p9625,0,NA,18250,5160,8309,0.03,0.20080663574716076,0.04595831142497714,0.10649329809115732,0,0.9196806509277552,0.9560632811464648,0.8732681116888532,0.9624506303334888
rel0p0300_fy0p2008_p0p0728_q0p0107_fl0p0000_fs0p8800_mu0p8308_j0p3965_c0p9357,0,NA,18250,4938,11,0.03,0.20078663847941908,0.07283252329290378,0.01073592255833093,0,0.8800090446613263,0.8308044140735689,0.39650681973851754,0.935691570453262
rel0p0300_fy0p2009_p0p0929_q0p1479_fl0p0000_fs0p9639_mu0p9863_j0p0810_c0p8980,0,NA,18250,5168,6988,0.03,0.2009137923352048,0.09288589343571103,0.14785184847139288,0,0.9638933929632696,0.9863411765144858,0.08097465136933606,0.8979847754489165
rel0p0300_fy0p2010_p0p0440_q0p1295_fl0p0000_fs0p8437_mu0p9199_j0p2017_c0p9548,0,NA,18250,5091,5784,0.03,0.20101870869616048,0.04395228528274223,0.1295060026377719,0,0.8437343428529334,0.9198745545688598,0.20167428575921803,0.9547949984579952
rel0p0300_fy0p2011_p0p0211_q0p1376_fl0p0000_fs0p8488_mu0p8082_j0p1307_c0p9234,0,NA,18250,5175,991,0.03,0.20109292274648324,0.02108049835894722,0.1375889410436014,0,0.8488403785451735,0.808225873449687,0.13069607086137405,0.9233534246684612
rel0p0300_fy0p2012_p0p0856_q0p1804_fl0p0000_fs0p9120_mu0p9327_j0p4028_c0p8604,0,NA,18250,4969,4202,0.03,0.20123140655647964,0.08561707620277537,0.18044993238443044,0,0.9119748976317096,0.9327350799310068,0.4027596021622652,0.8603523134737975
rel0p0300_fy0p2012_p0p0870_q0p1379_fl0p0000_fs0p8038_mu0p9274_j0p4653_c0p9027,0,NA,18250,5215,7192,0.03,0.20118458829136565,0.08700172959225719,0.13793167460712605,0,0.8037636523684627,0.9273866990322804,0.4652916975854198,0.9026981754594996
rel0p0300_fy0p2013_p0p1819_q0p1264_fl0p0000_fs0p8937_mu0p8749_j0p8337_c0p8498,0,NA,18250,5249,4292,0.03,0.20133544064892456,0.18186572730187328,0.12635332108655944,0,0.8936715088293097,0.8749412753835972,0.8337027103987057,0.8498345168434596
rel0p0300_fy0p2014_p0p0647_q0p1992_fl0p0000_fs0p9400_mu0p8071_j0p5638_c0p8336,0,NA,18250,5134,888,0.03,0.2014177741747536,0.06473248837067745,0.1992266866091499,0,0.9400463155681966,0.8071380262742006,0.5637979377397568,0.8335616453488032
rel0p0300_fy0p2015_p0p1411_q0p1617_fl0p0000_fs0p8649_mu0p9665_j0p4160_c0p9002,0,NA,18250,4915,6235,0.03,0.20146884409435095,0.1411268145541195,0.16165579148410822,0,0.8648901081500482,0.966503796193544,0.4160419211364584,0.9002373128092476
rel0p0300_fy0p2016_p0p1379_q0p1637_fl0p0000_fs0p8901_mu0p8970_j0p0426_c0p9710,0,NA,18250,5116,5613,0.03,0.2016320683016628,0.13793107374656946,0.16366670846455733,0,0.890129067792641,0.8969939857982705,0.04259266708751674,0.9709552598339506
rel0p0300_fy0p2016_p0p1798_q0p1933_fl0p0000_fs0p9741_mu0p9066_j0p9084_c0p8512,0,NA,18250,5070,4504,0.03,0.20158082790121437,0.1797982666035136,0.19327396380004477,0,0.9741461268626014,0.9065578092767672,0.9084322361415718,0.8512167819815735
rel0p0300_fy0p2017_p0p1467_q0p1908_fl0p0000_fs0p8034_mu0p9689_j0p6405_c0p8688,0,NA,18250,5042,9903,0.03,0.2017156318628788,0.1466658050947776,0.19080516750173648,0,0.8033967696790165,0.9689124967759056,0.6405255461398279,0.8687885026898282
rel0p0300_fy0p2018_p0p1415_q0p0210_fl0p0000_fs0p9311_mu0p8535_j0p1087_c0p8087,0,NA,18250,5217,6702,0.03,0.20178715385276824,0.141513091516681,0.0210497732880013,0,0.9310666613010038,0.8534734569427045,0.1086575043666642,0.8087438194011292
rel0p0300_fy0p2019_p0p0992_q0p0939_fl0p0000_fs0p9147_mu0p8467_j0p3656_c0p9472,0,NA,18250,5186,6246,0.03,0.2019180467632413,0.09921051692179406,0.09389925284039696,0,0.914738394654803,0.8466970765360539,0.3656390685281484,0.9471886745844548
rel0p0300_fy0p2020_p0p0303_q0p1867_fl0p0000_fs0p9785_mu0p8708_j0p3750_c0p9285,0,NA,18250,4963,5926,0.03,0.20195367749962956,0.03029604229682125,0.18666961135780905,0,0.9785077433989524,0.8708369654559205,0.37499404686130583,0.928488942598952
rel0p0300_fy0p2020_p0p0658_q0p1696_fl0p0000_fs0p8818_mu0p8601_j0p4041_c0p8946,0,NA,18250,4896,2039,0.03,0.20201582162853332,0.06579271903692745,0.16962083162147087,0,0.8817594926990383,0.8600978331624345,0.4040733108140062,0.8946450844084891
rel0p0300_fy0p2022_p0p0847_q0p1965_fl0p0000_fs0p8627_mu0p9192_j0p6712_c0p8786,0,NA,18250,5153,6446,0.03,0.20223897590752693,0.08472381671207957,0.19652807989044585,0,0.8627418517429941,0.9191568687412608,0.6712356210072757,0.8786477800603724
rel0p0300_fy0p2022_p0p1688_q0p0708_fl0p0000_fs0p9100_mu0p9622_j0p4229_c0p8007,0,NA,18250,5169,1307,0.03,0.20215971230946483,0.16876941117304844,0.07084035467154347,0,0.9099707049198168,0.962163772089542,0.4229484447303461,0.8006777903158404
rel0p0300_fy0p2023_p0p0277_q0p1268_fl0p0000_fs0p9124_mu0p8794_j0p1357_c0p8909,0,NA,18250,4941,4348,0.03,0.202313171134498,0.02771418685836717,0.1268006672676373,0,0.9123581398277684,0.8793959506374225,0.13569436123261694,0.8908723193573859
rel0p0300_fy0p2024_p0p1299_q0p1493_fl0p0000_fs0p9746_mu0p9956_j0p9108_c0p9329,0,NA,18250,4973,3314,0.03,0.20238096987312665,0.1298682268608222,0.14932003876509145,0,0.9745893469283032,0.9956474541224491,0.9107615722650196,0.9329412164218538
rel0p0300_fy0p2024_p0p1766_q0p1288_fl0p0000_fs0p9824_mu0p9955_j0p2839_c0p9317,0,NA,18250,5111,8863,0.03,0.20244219739217312,0.1765845412581647,0.1287708496561274,0,0.9824492236008217,0.9954916867027618,0.28386329928203485,0.9316700229517232
rel0p0300_fy0p2025_p0p1610_q0p1607_fl0p0000_fs0p9115_mu0p9906_j0p6962_c0p9668,0,NA,18250,5024,2269,0.03,0.2025478345344588,0.16104345492050984,0.16070434043009765,0,0.9115061046578083,0.9905610893625952,0.6961801999969873,0.9667553359815896
rel0p0300_fy0p2026_p0p1047_q0p0943_fl0p0000_fs0p9515_mu0p9519_j0p1433_c0p8784,0,NA,18250,5085,7340,0.03,0.2025648067477718,0.10472761732933113,0.09431498192160392,0,0.9514858609028812,0.9519345926315896,0.14330338661822026,0.8784108057280304
rel0p0300_fy0p2027_p0p0092_q0p0062_fl0p0000_fs0p8398_mu0p8760_j0p9428_c0p8192,0,NA,18250,5052,3249,0.03,0.2027272427846119,0.00920122874707914,0.00624455506589263,0,0.8397832115206123,0.8759981449551835,0.9428450150800404,0.8191877545918991
rel0p0300_fy0p2027_p0p0164_q0p1157_fl0p0000_fs0p8847_mu0p9610_j0p9132_c0p8671,0,NA,18250,5214,9971,0.03,0.20271096258720384,0.01644982034446206,0.1157462613672018,0,0.8847031786335213,0.9609863574357238,0.9131547581727152,0.8670523830491678
