tag,rel,fy,pq,fl,fs,mu,j,c,rel_pct,fy_cost_pct,rel_lab,fy_cost_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p01_fy0p10_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.1,0,1,0,0.97,0.25,0.93,1,90,1,90,1,10,100,0,,,median,,1.007269718579235
rel0p01_fy0p20_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.2,0,1,0,0.97,0.25,0.93,1,80,1,80,1,9,100,0,,,median,,1.0069912213114753
rel0p01_fy0p30_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.3,0,1,0,0.97,0.25,0.93,1,70,1,70,1,8,100,0,,,median,,1.0071370491803278
rel0p01_fy0p40_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.4,0,1,0,0.97,0.25,0.93,1,60,1,60,1,7,100,0,,,median,,1.00338343715847
rel0p01_fy0p50_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.5,0,1,0,0.97,0.25,0.93,1,50,1,50,1,6,100,0,,,median,,0.9950227021857924
rel0p01_fy0p60_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.6,0,1,0,0.97,0.25,0.93,1,40,1,40,1,5,100,0,,,median,,0.9520052978142076
rel0p01_fy0p70_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.7,0,1,0,0.97,0.25,0.93,1,30.000000000000004,1,30,1,4,100,0,,,median,,0.8875313961748634
rel0p01_fy0p80_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.8,0,1,0,0.97,0.25,0.93,1,19.999999999999996,1,20,1,3,100,0,,,median,,0.7540732568306011
rel0p01_fy0p90_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,0.9,0,1,0,0.97,0.25,0.93,1,9.999999999999998,1,10,1,2,100,0.01,40.12876712328767,40.12876712328767,median,,0.6515436584699453
rel0p01_fy1p00_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.01,1,0,1,0,0.97,0.25,0.93,1,0,1,0,1,1,100,0,,,median,,0.5044714316939891
rel0p02_fy0p10_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.1,0,1,0,0.97,0.25,0.93,2,90,2,90,2,10,100,0,,,median,,1.0072598579234973
rel0p02_fy0p20_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.2,0,1,0,0.97,0.25,0.93,2,80,2,80,2,9,100,0,,,median,,1.0074208032786884
rel0p02_fy0p30_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.3,0,1,0,0.97,0.25,0.93,2,70,2,70,2,8,100,0,,,median,,1.0083820928961749
rel0p02_fy0p40_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.4,0,1,0,0.97,0.25,0.93,2,60,2,60,2,7,100,0,,,median,,1.003238218579235
rel0p02_fy0p50_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.5,0,1,0,0.97,0.25,0.93,2,50,2,50,2,6,100,0.03,14.763470319634703,14.123287671232877,median,,0.9413948032786885
rel0p02_fy0p60_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.6,0,1,0,0.97,0.25,0.93,2,40,2,40,2,5,100,0.07,12.844227005870842,13.139726027397261,median,,0.8233694836065574
rel0p02_fy0p70_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.7,0,1,0,0.97,0.25,0.93,2,30.000000000000004,2,30,2,4,100,0.29,12.83042040623524,12.186301369863013,median,,0.5785470355191257
rel0p02_fy0p80_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.8,0,1,0,0.97,0.25,0.93,2,19.999999999999996,2,20,2,3,100,0.46,12.146813579511614,11.493150684931507,median,,0.40260256010928963
rel0p02_fy0p90_pq0p00_fl1p00_fs0p00_mu0p97_j0p25_c0p93,0.02,0.9,0,1,0,0.97,0.25,0.93,2,9.999999999999998,2,10,2,2,100,0.6,11.582465753424657,10.932876712328767,median,10.932876712328767,0.3018417704918033
