tag,rel,fy,pq,fl,fs,mu,j,c,rel_pct,fy_cost_pct,rel_lab,fy_cost_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p01_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.1,0,0,1,0.97,0.25,0.93,1,90,1,90,1,10,100,0,,,median,,1.0073933961748633
rel0p01_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.2,0,0,1,0.97,0.25,0.93,1,80,1,80,1,9,100,0,,,median,,1.007299049180328
rel0p01_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.3,0,0,1,0.97,0.25,0.93,1,70,1,70,1,8,100,0,,,median,,1.011404581967213
rel0p01_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.4,0,0,1,0.97,0.25,0.93,1,60,1,60,1,7,100,0,,,median,,1.0067843551912568
rel0p01_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.5,0,0,1,0.97,0.25,0.93,1,50,1,50,1,6,100,0,,,median,,0.9884992704918033
rel0p01_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.6,0,0,1,0.97,0.25,0.93,1,40,1,40,1,5,100,0,,,median,,0.9342909071038251
rel0p01_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.7,0,0,1,0.97,0.25,0.93,1,30.000000000000004,1,30,1,4,100,0,,,median,,0.8492825928961748
rel0p01_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.8,0,0,1,0.97,0.25,0.93,1,19.999999999999996,1,20,1,3,100,0,,,median,,0.7286148415300546
rel0p01_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,0.9,0,0,1,0.97,0.25,0.93,1,9.999999999999998,1,10,1,2,100,0,,,median,,0.5465695601092896
rel0p01_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.01,1,0,0,1,0.97,0.25,0.93,1,0,1,0,1,1,100,0.03,34.46940639269406,33.54794520547945,median,,0.42096470218579235
rel0p02_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.1,0,0,1,0.97,0.25,0.93,2,90,2,90,2,10,100,0,,,median,,1.0082121775956283
rel0p02_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.2,0,0,1,0.97,0.25,0.93,2,80,2,80,2,9,100,0,,,median,,1.0088236939890711
rel0p02_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.3,0,0,1,0.97,0.25,0.93,2,70,2,70,2,8,100,0,,,median,,1.0062401830601093
rel0p02_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.4,0,0,1,0.97,0.25,0.93,2,60,2,60,2,7,100,0.01,14.276712328767124,14.276712328767124,median,,0.9884618961748634
rel0p02_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.5,0,0,1,0.97,0.25,0.93,2,50,2,50,2,6,100,0.1,12.098904109589041,11.88082191780822,median,,0.8571021803278689
rel0p02_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.6,0,0,1,0.97,0.25,0.93,2,40,2,40,2,5,100,0.44,11.989601494396014,11.410958904109588,median,,0.5065959180327869
rel0p02_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.7,0,0,1,0.97,0.25,0.93,2,30.000000000000004,2,30,2,4,100,0.51,11.085683588503894,10.775342465753425,median,10.775342465753425,0.4277709644808743
rel0p02_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.8,0,0,1,0.97,0.25,0.93,2,19.999999999999996,2,20,2,3,100,0.67,10.706522183602535,10.391780821917807,median,10.391780821917807,0.2683978032786885
rel0p02_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,0.9,0,0,1,0.97,0.25,0.93,2,9.999999999999998,2,10,2,2,100,0.82,10.541129301703975,10.293150684931508,median,10.293150684931508,0.145971956284153
rel0p02_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.02,1,0,0,1,0.97,0.25,0.93,2,0,2,0,2,1,100,0.89,10.123226104355856,10.01095890410959,median,10.01095890410959,0.0928407158469945
rel0p03_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.1,0,0,1,0.97,0.25,0.93,3,90,3,90,3,10,100,0,,,median,,1.0093777540983606
rel0p03_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.2,0,0,1,0.97,0.25,0.93,3,80,3,80,3,9,100,0,,,median,,1.0098744098360657
rel0p03_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.3,0,0,1,0.97,0.25,0.93,3,70,3,70,3,8,100,0.72,10.043112633181126,10.006849315068493,median,10.006849315068493,0.28223410109289615
rel0p03_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.4,0,0,1,0.97,0.25,0.93,3,60,3,60,3,7,100,0.98,9.041655018171651,9.095890410958905,median,9.095890410958905,0.020308226775956287
rel0p03_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.5,0,0,1,0.97,0.25,0.93,3,50,3,50,3,6,100,1,8.62441095890411,8.664383561643834,median,8.664383561643834,0
rel0p03_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.6,0,0,1,0.97,0.25,0.93,3,40,3,40,3,5,100,1,8.325671232876712,8.32191780821918,median,8.32191780821918,0
rel0p03_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.7,0,0,1,0.97,0.25,0.93,3,30.000000000000004,3,30,3,4,100,1,8.112027397260274,8.094520547945205,median,8.094520547945205,0
rel0p03_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.8,0,0,1,0.97,0.25,0.93,3,19.999999999999996,3,20,3,3,100,1,7.881616438356164,7.85068493150685,median,7.85068493150685,0
rel0p03_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,0.9,0,0,1,0.97,0.25,0.93,3,9.999999999999998,3,10,3,2,100,1,7.815643835616438,7.8342465753424655,median,7.8342465753424655,0
rel0p03_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.03,1,0,0,1,0.97,0.25,0.93,3,0,3,0,3,1,100,1,7.734712328767123,7.713698630136987,median,7.713698630136987,0
rel0p04_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.1,0,0,1,0.97,0.25,0.93,4,90,4,90,4,10,100,0,,,median,,1.0079047896174864
rel0p04_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.2,0,0,1,0.97,0.25,0.93,4,80,4,80,4,9,100,0.93,9.500338783325969,9.443835616438356,median,9.443835616438356,0.06975019398907106
rel0p04_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.3,0,0,1,0.97,0.25,0.93,4,70,4,70,4,8,100,1,7.964054794520548,7.972602739726027,median,7.972602739726027,0
rel0p04_fy0p40_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.4,0,0,1,0.97,0.25,0.93,4,60,4,60,4,7,100,1,7.333945205479452,7.301369863013699,median,7.301369863013699,0
rel0p04_fy0p50_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.5,0,0,1,0.97,0.25,0.93,4,50,4,50,4,6,100,1,7.003041095890411,7.008219178082192,median,7.008219178082192,0
rel0p04_fy0p60_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.6,0,0,1,0.97,0.25,0.93,4,40,4,40,4,5,100,1,6.828082191780822,6.810958904109589,median,6.810958904109589,0
rel0p04_fy0p70_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.7,0,0,1,0.97,0.25,0.93,4,30.000000000000004,4,30,4,4,100,1,6.68627397260274,6.661643835616438,median,6.661643835616438,0
rel0p04_fy0p80_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.8,0,0,1,0.97,0.25,0.93,4,19.999999999999996,4,20,4,3,100,1,6.585506849315069,6.576712328767123,median,6.576712328767123,0
rel0p04_fy0p90_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,0.9,0,0,1,0.97,0.25,0.93,4,9.999999999999998,4,10,4,2,100,1,6.501205479452055,6.483561643835616,median,6.483561643835616,0
rel0p04_fy1p00_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.04,1,0,0,1,0.97,0.25,0.93,4,0,4,0,4,1,100,1,6.481589041095891,6.484931506849315,median,6.484931506849315,0
rel0p05_fy0p10_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.1,0,0,1,0.97,0.25,0.93,5,90,5,90,5,10,100,0,,,median,,1.0070354398907104
rel0p05_fy0p20_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.2,0,0,1,0.97,0.25,0.93,5,80,5,80,5,9,100,1,7.731671232876712,7.7465753424657535,median,7.7465753424657535,0
rel0p05_fy0p30_pq0p00_fl0p00_fs1p00_mu0p97_j0p25_c0p93,0.05,0.3,0,0,1,0.97,0.25,0.93,5,70,5,70,5,8,100,1,6.674219178082192,6.657534246575342,median,6.657534246575342,0
