strategy,rel_pct,metric,n,mean,sd,se,tval,lo,hi
Boosted YLE (XS=0.5),0.2,Maximum total population,100,10611.81,151.43086531383545,15.143086531383545,1.9842169515864172,10581.762831005088,10641.857168994911
Boosted YLE (XS=0.5),0.2,Minimum female population,100,3327.64,318.62908742538775,31.862908742538774,1.9842169515864172,3264.4170763462034,3390.8629236537963
Boosted YLE (XS=0.5),0.4,Maximum total population,100,10573.46,153.67382616595722,15.367382616595723,1.9842169515864172,10542.967778910635,10603.952221089363
Boosted YLE (XS=0.5),0.4,Minimum female population,100,2035.33,374.0914665607001,37.40914665607001,1.9842169515864172,1961.1021370606436,2109.5578629393563
Boosted YLE (XS=0.5),0.6,Maximum total population,100,10560.37,165.18869864980522,16.518869864980523,1.9842169515864172,10527.592978392857,10593.147021607145
Boosted YLE (XS=0.5),0.6,Minimum female population,100,731.46,459.1712653347233,45.91712653347233,1.9842169515864172,640.3504591641458,822.5695408358542
Boosted YLE (XS=0.5),0.8,Maximum total population,100,10593.91,168.56375438666905,16.856375438666905,1.9842169515864172,10560.463294112293,10627.356705887707
Boosted YLE (XS=0.5),0.8,Minimum female population,100,77.69999999999999,157.82578939444537,15.782578939444537,1.9842169515864172,46.38393932860336,109.01606067139662
Boosted YLE (XS=0.5),1,Maximum total population,100,10585.39,184.18073551089248,18.418073551089247,1.9842169515864172,10548.844546244363,10621.935453755636
Boosted YLE (XS=0.5),1,Minimum female population,100,4.14,19.03320861817657,1.903320861817657,1.9842169515864172,0.363398481673336,7.916601518326663
Boosted YLE (XS=0.5),1.2,Maximum total population,100,10555.04,163.91460698741395,16.391460698741394,1.9842169515864172,10522.515785820297,10587.564214179705
Boosted YLE (XS=0.5),1.2,Minimum female population,100,0.03999999999999998,0.3999999999999999,0.039999999999999994,1.9842169515864172,-0.0393686780634567,0.11936867806345666
Boosted YLE (XS=0.5),1.4000000000000001,Maximum total population,100,10548.79,181.0355339303711,18.10355339303711,1.9842169515864172,10512.868622473587,10584.711377526415
Boosted YLE (XS=0.5),1.4000000000000001,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),1.6,Maximum total population,100,10574.75,163.5517633439924,16.35517633439924,1.9842169515864172,10542.2977818711,10607.2022181289
Boosted YLE (XS=0.5),1.6,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),1.7999999999999998,Maximum total population,100,10569.3,161.4614129716072,16.146141297160717,1.9842169515864172,10537.262552735463,10601.337447264536
Boosted YLE (XS=0.5),1.7999999999999998,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),2,Maximum total population,100,10586.03,168.25602515214723,16.825602515214722,1.9842169515864172,10552.644354268656,10619.415645731346
Boosted YLE (XS=0.5),2,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),2.1999999999999997,Maximum total population,100,10570.19,179.25590843001723,17.92559084300172,1.9842169515864172,10534.621738782114,10605.758261217887
Boosted YLE (XS=0.5),2.1999999999999997,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),2.4,Maximum total population,100,10583.88,147.53019071267127,14.753019071267127,1.9842169515864172,10554.606809471714,10613.153190528285
Boosted YLE (XS=0.5),2.4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),2.6,Maximum total population,100,10577.23,165.79845712140502,16.579845712140504,1.9842169515864172,10544.331989083283,10610.128010916716
Boosted YLE (XS=0.5),2.6,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),2.8000000000000003,Maximum total population,100,10605.34,151.56211647874002,15.156211647874002,1.9842169515864172,10575.266787926457,10635.413212073543
